destination,country,continent,population,cost_index,safety_index,climate,activities,style,has_beaches,has_mountains,is_urban,is_safe,is_expensive
"Queenstown, New Zealand Variant 50",New Zealand,Oceania,14908,80.37473139798247,89.43751322835276,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Iceland Variant 51,Iceland,Europe,405164,111.32358910020625,98.72930926214154,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 52,Iceland,Europe,397716,125.39609201583666,90.50852181314035,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Bhutan Variant 53,Bhutan,Asia,759791,63.591014455326494,96.36080929676727,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 54,Bhutan,Asia,772030,62.35343166762044,100.0,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 55,Bhutan,Asia,562242,92.83938046489837,91.84406600916579,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 56",New Zealand,Oceania,8154,84.88416680218006,95.95299352557261,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 57,Bhutan,Asia,1065290,71.06129363099085,82.278852031252,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,False,False
Iceland Variant 58,Iceland,Europe,518116,117.82543023095975,95.62371325799762,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 59",New Zealand,Oceania,12253,87.14093744130204,88.77130610644006,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 60",Chile,South America,143001,58.52280027175,96.94801414073295,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 61,Iceland,Europe,278351,128.8283766050939,95.7534780695211,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 62",New Zealand,Oceania,18037,71.22330632042909,90.31087480042439,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 63",Chile,South America,131011,75.15047686306048,100.0,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Bhutan Variant 64,Bhutan,Asia,534590,63.34690385446437,88.56412412333745,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Costa Rica Variant 65,Costa Rica,Central America,7071747,75.68351251103829,82.9529558471422,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Iceland Variant 66,Iceland,Europe,337959,102.11503495019504,99.78652270968317,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Patagonia, Chile Variant 67",Chile,South America,136040,73.54419585119662,80.59843705773721,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
Bhutan Variant 68,Bhutan,Asia,787127,57.84696290740032,95.39798874467338,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 69,Bhutan,Asia,737094,61.08598187918168,94.19011298710838,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Iceland Variant 70,Iceland,Europe,398100,99.74857413342393,98.93227157384713,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 71",New Zealand,Oceania,13482,100.92981794259464,92.83029200494974,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,True
"Patagonia, Chile Variant 72",Chile,South America,52535,62.28180922243245,98.30650865304077,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 73",Chile,South America,141521,54.51171320175908,88.2843546794795,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 74",New Zealand,Oceania,17402,88.77296265460409,100.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 75,Bhutan,Asia,708092,57.692585967703465,85.60040133368435,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 76,Bhutan,Asia,477526,58.199956658820575,90.68297077566363,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 77",New Zealand,Oceania,12171,79.50747092635699,100.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 78,Bhutan,Asia,691848,80.43067651859084,98.61631903575618,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 79",Chile,South America,76089,101.87033338072969,90.4208176050396,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,True
Bhutan Variant 80,Bhutan,Asia,510459,66.9905969557347,88.99891561420603,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 81",New Zealand,Oceania,20507,96.72435782392242,97.65700005480164,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Costa Rica Variant 82,Costa Rica,Central America,4529666,68.84866322228669,95.55658820808125,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Iceland Variant 83,Iceland,Europe,462223,131.37017418633457,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Patagonia, Chile Variant 84",Chile,South America,70668,61.169213415204666,86.50310975801759,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 85",Chile,South America,53896,54.562745973081036,95.5844672010084,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 86",Chile,South America,81897,64.10635243055789,94.24801048510513,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Costa Rica Variant 87,Costa Rica,Central America,6083740,80.29435511653803,84.0805413113599,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,False,False
Costa Rica Variant 88,Costa Rica,Central America,4681524,75.50743958855266,87.47299945940857,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Bhutan Variant 89,Bhutan,Asia,962973,47.12328388068218,85.89714947859073,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 90,Bhutan,Asia,568719,76.44371535474684,96.28932329394233,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Iceland Variant 91,Iceland,Europe,211093,120.12146509073226,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 92",New Zealand,Oceania,12300,82.60775202130245,99.26987355533927,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Costa Rica Variant 93,Costa Rica,Central America,7438561,70.88709409340186,89.92011772281545,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Costa Rica Variant 94,Costa Rica,Central America,7395316,75.96995964992718,87.97578512718457,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Bhutan Variant 95,Bhutan,Asia,455612,76.23541781691516,100.0,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 96,Bhutan,Asia,964328,71.24119817052156,95.1417275463214,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
Bhutan Variant 97,Bhutan,Asia,1101815,83.13666575878908,94.02291447558763,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
Costa Rica Variant 98,Costa Rica,Central America,6058953,75.90072586981661,85.4136521790024,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Bhutan Variant 99,Bhutan,Asia,556383,73.86201966129376,90.83148410342997,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 100",Chile,South America,58134,55.51915658502676,82.96268112811723,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
Costa Rica Variant 101,Costa Rica,Central America,3757094,76.86212343894626,89.13095236827134,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
Costa Rica Variant 102,Costa Rica,Central America,4468923,54.62924065027861,92.85016140271335,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
"Patagonia, Chile Variant 103",Chile,South America,83025,54.13536381573665,87.88911412524502,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 104",Chile,South America,96866,73.22718560338089,85.86384528223839,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 105",New Zealand,Oceania,17715,79.60254640675406,87.90019183504155,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Costa Rica Variant 106,Costa Rica,Central America,4007131,71.56798763368832,87.28838227214419,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
"Patagonia, Chile Variant 107",Chile,South America,51215,70.6965266451888,94.91752153179233,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 108,Iceland,Europe,496690,128.43574022780345,92.66839260880016,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
"Queenstown, New Zealand Variant 109",New Zealand,Oceania,15346,99.51143607795042,99.79635413042604,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Queenstown, New Zealand Variant 110",New Zealand,Oceania,16913,93.72320636720679,95.91671002869175,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Queenstown, New Zealand Variant 111",New Zealand,Oceania,21228,76.2443821196804,93.82575833205347,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 112,Bhutan,Asia,598583,63.42276041745897,85.22471022241034,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 113",Chile,South America,72939,62.01764781968467,83.3107758809581,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,False,False
Costa Rica Variant 114,Costa Rica,Central America,7579674,78.4175597577716,94.38085419607943,Tropical,"['Zip-lining', 'Surfing', 'Rainforest trekking']",Adventure,False,False,True,True,False
"Queenstown, New Zealand Variant 115",New Zealand,Oceania,13668,69.85425156183763,98.3982983458171,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Bhutan Variant 116,Bhutan,Asia,1086413,72.41963016529465,99.38329312714815,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
"Patagonia, Chile Variant 117",Chile,South America,58274,71.42050091917568,95.18579232472312,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Bhutan Variant 118,Bhutan,Asia,405302,76.79440120721287,89.65412173947648,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 119",New Zealand,Oceania,13151,78.84214155232289,100.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
Iceland Variant 120,Iceland,Europe,469741,118.85460154747382,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Iceland Variant 121,Iceland,Europe,221848,123.42456918007514,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
Bhutan Variant 122,Bhutan,Asia,1152410,80.16233322933897,93.56229240548974,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,True,True,False
Bhutan Variant 123,Bhutan,Asia,967952,51.49278047058493,88.81382233962061,Mountain,"['Trekking', 'Buddhist temples', 'Cultural immersion']",Adventure,False,True,False,True,False
"Queenstown, New Zealand Variant 124",New Zealand,Oceania,9437,86.20295631711899,97.57219417029374,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Queenstown, New Zealand Variant 125",New Zealand,Oceania,17575,69.65885829264377,100.0,Temperate,"['Bungee jumping', 'Skydiving', 'Hiking', 'Rafting']",Adventure,False,False,False,True,False
"Patagonia, Chile Variant 126",Chile,South America,99816,82.7546324865362,89.54216969675082,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
"Patagonia, Chile Variant 127",Chile,South America,135218,90.60747924881987,98.77670421221602,Cold,"['Trekking', 'Glacier hiking', 'Wildlife watching']",Adventure,False,True,False,True,False
Iceland Variant 128,Iceland,Europe,316219,126.45375949585147,100.0,Cold,"['Glacier tours', 'Northern lights', 'Volcano visits']",Adventure,False,True,False,True,True
